iter	Passed	Remaining
0	3	327
1	6	329
2	9	298
3	10	251
4	11	224
5	13	208
6	17	231
7	19	221
8	21	213
9	22	204
10	25	202
11	27	198
12	28	190
13	32	196
14	33	190
15	35	186
16	37	182
17	38	177
18	40	173
19	41	167
20	45	170
21	47	168
22	49	164
23	50	161
24	52	158
25	54	154
26	55	150
27	56	146
28	59	145
29	61	143
30	62	140
31	64	136
32	65	132
33	67	130
34	68	127
35	71	127
36	79	134
37	80	132
38	82	128
39	83	125
40	84	122
41	85	118
42	87	115
43	91	115
44	92	113
45	94	111
46	96	109
47	98	107
48	100	104
49	101	101
50	105	100
51	107	99
52	109	97
53	111	94
54	112	91
55	113	89
56	114	86
57	116	84
58	117	81
59	120	80
60	122	78
61	123	75
62	125	73
63	126	71
64	128	69
65	130	67
66	135	66
67	137	64
68	139	62
69	141	60
70	143	58
71	144	56
72	146	54
73	150	52
74	153	51
75	154	48
76	156	46
77	158	44
78	159	42
79	160	40
80	164	38
81	165	36
82	166	34
83	168	32
84	169	29
85	171	27
86	172	25
87	173	23
88	174	21
89	178	19
90	179	17
91	181	15
92	183	13
93	184	11
94	186	9
95	187	7
96	188	5
97	190	3
98	195	1
99	196	0
