iter	Passed	Remaining
0	86	86080
1	87	43496
2	88	29263
3	88	22113
4	89	17880
5	91	15186
6	93	13240
7	94	11773
8	97	10690
9	98	9759
10	100	9007
11	102	8436
12	106	8070
13	110	7789
14	113	7478
15	115	7123
16	116	6758
17	120	6572
18	121	6278
19	127	6268
20	144	6716
21	145	6471
22	146	6225
23	147	5993
24	149	5846
25	156	5859
26	158	5715
27	159	5546
28	160	5378
29	161	5227
30	164	5150
31	165	5013
32	166	4883
33	167	4772
34	173	4777
35	175	4708
36	177	4625
37	179	4543
38	181	4474
39	189	4546
40	191	4490
41	195	4456
42	199	4433
43	205	4474
44	208	4419
45	211	4389
46	213	4322
47	218	4325
48	220	4271
49	221	4217
50	223	4152
51	225	4106
52	226	4053
53	233	4092
54	235	4043
55	237	3996
56	239	3964
57	246	4008
58	248	3964
59	250	3928
60	253	3900
61	256	3887
62	265	3942
63	268	3928
64	273	3931
65	279	3957
66	282	3937
67	284	3901
68	287	3878
69	289	3839
70	295	3867
71	298	3851
72	304	3871
73	317	3975
74	322	3974
75	327	3980
76	331	3968
77	334	3952
78	341	3981
79	346	3988
80	350	3974
81	357	4001
82	359	3968
83	361	3942
84	376	4050
85	382	4064
86	393	4133
87	399	4140
88	408	4183
89	412	4175
90	420	4195
91	424	4190
92	430	4197
93	436	4209
94	439	4184
95	452	4265
96	456	4249
97	468	4308
98	474	4314
99	477	4293
100	484	4312
101	488	4297
102	496	4328
103	500	4311
104	505	4307
105	512	4320
106	514	4290
107	522	4314
108	530	4336
109	535	4328
110	541	4340
111	545	4323
112	548	4301
113	551	4288
114	558	4301
115	563	4297
116	565	4271
117	572	4281
118	577	4273
119	588	4314
120	591	4297
121	599	4313
122	613	4377
123	617	4362
124	627	4395
125	636	4411
126	642	4418
127	645	4399
128	649	4382
129	658	4405
130	661	4387
131	664	4366
132	666	4343
133	671	4338
134	675	4330
135	678	4311
136	681	4292
137	686	4290
138	689	4271
139	693	4258
140	694	4233
141	696	4207
142	701	4205
143	703	4182
144	708	4179
145	710	4156
146	712	4134
147	718	4135
148	719	4112
149	723	4102
150	728	4097
151	734	4095
152	739	4093
153	740	4069
154	749	4086
155	756	4091
156	759	4077
157	766	4082
158	772	4085
159	775	4072
160	778	4059
161	786	4067
162	788	4049
163	791	4036
164	797	4034
165	800	4023
166	803	4009
167	806	3992
168	813	4000
169	822	4013
170	828	4014
171	832	4009
172	841	4023
173	844	4006
174	849	4002
175	854	4001
176	862	4011
177	872	4027
178	877	4023
179	879	4004
180	880	3985
181	882	3964
182	883	3944
183	885	3926
184	889	3917
185	891	3901
186	896	3897
187	902	3898
188	908	3898
189	919	3921
190	935	3963
191	938	3951
192	945	3953
193	950	3949
194	959	3960
195	969	3975
196	982	4006
197	999	4048
198	1009	4064
199	1018	4075
200	1023	4067
201	1026	4055
202	1034	4062
203	1043	4073
204	1051	4076
205	1057	4074
206	1066	4087
207	1084	4131
208	1086	4112
209	1088	4094
210	1095	4094
211	1121	4167
212	1129	4173
213	1136	4173
214	1143	4174
215	1152	4182
216	1162	4192
217	1167	4188
218	1178	4202
219	1180	4186
220	1187	4185
221	1194	4184
222	1197	4173
223	1203	4170
224	1207	4158
225	1212	4151
226	1218	4148
227	1222	4138
228	1226	4128
229	1232	4125
230	1238	4121
231	1244	4118
232	1249	4112
233	1252	4099
234	1256	4091
235	1260	4079
236	1262	4065
237	1265	4051
238	1268	4038
239	1271	4026
240	1274	4014
241	1278	4005
242	1282	3994
243	1288	3993
244	1294	3988
245	1296	3973
246	1298	3959
247	1300	3943
248	1302	3927
249	1304	3912
250	1311	3912
251	1314	3900
252	1317	3891
253	1323	3886
254	1325	3872
255	1328	3861
256	1332	3852
257	1338	3850
258	1342	3840
259	1344	3825
260	1345	3810
261	1348	3797
262	1350	3783
263	1358	3786
264	1364	3785
265	1370	3782
266	1373	3770
267	1375	3756
268	1377	3742
269	1379	3728
270	1382	3718
271	1385	3707
272	1387	3695
273	1389	3682
274	1392	3670
275	1400	3673
276	1404	3665
277	1406	3653
278	1408	3640
279	1410	3628
280	1413	3615
281	1414	3602
282	1416	3590
283	1419	3577
284	1422	3568
285	1427	3563
286	1430	3553
287	1432	3541
288	1434	3529
289	1437	3518
290	1442	3514
291	1444	3502
292	1447	3492
293	1449	3481
294	1452	3470
295	1457	3466
296	1459	3455
297	1462	3445
298	1466	3437
299	1473	3438
300	1476	3428
301	1479	3419
302	1482	3410
303	1490	3413
304	1494	3405
305	1496	3394
306	1498	3381
307	1501	3373
308	1507	3370
309	1509	3360
310	1511	3349
311	1514	3340
312	1519	3336
313	1521	3324
314	1524	3314
315	1526	3304
316	1529	3294
317	1533	3289
318	1536	3280
319	1539	3270
320	1541	3260
321	1547	3257
322	1550	3250
323	1553	3240
324	1555	3230
325	1557	3220
326	1560	3211
327	1566	3210
328	1569	3200
329	1571	3189
330	1572	3178
331	1574	3168
332	1581	3168
333	1584	3159
334	1586	3149
335	1588	3138
336	1590	3128
337	1595	3125
338	1597	3114
339	1599	3105
340	1602	3096
341	1604	3086
342	1606	3077
343	1611	3072
344	1613	3062
345	1615	3053
346	1617	3044
347	1619	3034
348	1621	3024
349	1626	3020
350	1628	3010
351	1630	3001
352	1633	2993
353	1634	2983
354	1636	2973
355	1642	2970
356	1643	2960
357	1645	2950
358	1646	2940
359	1648	2931
360	1650	2922
361	1655	2918
362	1659	2911
363	1661	2902
364	1664	2895
365	1672	2896
366	1677	2893
367	1681	2888
368	1689	2889
369	1692	2881
370	1695	2873
371	1696	2864
372	1698	2855
373	1704	2853
374	1707	2845
375	1709	2837
376	1711	2828
377	1717	2825
378	1721	2820
379	1724	2814
380	1728	2807
381	1734	2805
382	1736	2797
383	1740	2791
384	1743	2784
385	1748	2781
386	1751	2774
387	1754	2767
388	1756	2759
389	1759	2751
390	1766	2751
391	1772	2748
392	1774	2740
393	1781	2739
394	1782	2730
395	1784	2722
396	1786	2714
397	1789	2706
398	1794	2702
399	1796	2694
400	1798	2686
401	1800	2678
402	1802	2670
403	1804	2661
404	1805	2652
405	1808	2645
406	1813	2642
407	1817	2636
408	1819	2629
409	1825	2626
410	1827	2618
411	1829	2610
412	1830	2602
413	1832	2594
414	1834	2586
415	1840	2583
416	1842	2575
417	1844	2567
418	1846	2560
419	1847	2551
420	1849	2543
421	1851	2535
422	1857	2533
423	1862	2529
424	1864	2522
425	1869	2519
426	1871	2511
427	1873	2504
428	1875	2495
429	1878	2490
430	1881	2483
431	1886	2480
432	1889	2474
433	1892	2467
434	1894	2460
435	1896	2453
436	1902	2451
437	1905	2445
438	1908	2438
439	1910	2432
440	1916	2429
441	1919	2422
442	1921	2415
443	1923	2408
444	1926	2402
445	1932	2400
446	1934	2393
447	1936	2386
448	1941	2382
449	1948	2380
450	1952	2376
451	1954	2370
452	1957	2363
453	1965	2363
454	1969	2358
455	1972	2353
456	1978	2351
457	1980	2344
458	1983	2337
459	1985	2331
460	1988	2324
461	1994	2323
462	1997	2316
463	1999	2309
464	2001	2302
465	2003	2295
466	2008	2292
467	2010	2285
468	2013	2279
469	2015	2272
470	2018	2267
471	2024	2264
472	2027	2258
473	2029	2252
474	2031	2245
475	2033	2238
476	2034	2230
477	2039	2227
478	2040	2219
479	2042	2212
480	2044	2205
481	2046	2199
482	2048	2192
483	2052	2187
484	2054	2182
485	2058	2176
486	2060	2170
487	2062	2163
488	2068	2161
489	2070	2154
490	2072	2148
491	2073	2141
492	2075	2134
493	2077	2127
494	2082	2124
495	2085	2118
496	2086	2112
497	2088	2105
498	2090	2098
499	2091	2091
500	2093	2084
501	2098	2082
502	2100	2075
503	2101	2068
504	2103	2061
505	2106	2056
506	2108	2050
507	2115	2048
508	2118	2043
509	2120	2037
510	2123	2031
511	2128	2028
512	2131	2023
513	2134	2018
514	2136	2012
515	2139	2006
516	2145	2004
517	2149	2000
518	2152	1994
519	2154	1988
520	2160	1986
521	2164	1981
522	2166	1975
523	2168	1969
524	2173	1966
525	2176	1961
526	2181	1957
527	2190	1957
528	2192	1952
529	2195	1946
530	2197	1940
531	2199	1934
532	2205	1932
533	2207	1926
534	2209	1920
535	2212	1914
536	2214	1909
537	2217	1904
538	2220	1899
539	2223	1893
540	2225	1887
541	2227	1882
542	2229	1876
543	2236	1874
544	2241	1871
545	2244	1866
546	2251	1864
547	2253	1859
548	2256	1853
549	2257	1847
550	2259	1841
551	2261	1835
552	2264	1830
553	2266	1824
554	2268	1818
555	2270	1813
556	2271	1806
557	2273	1800
558	2275	1794
559	2279	1790
560	2280	1784
561	2282	1779
562	2284	1773
563	2285	1767
564	2287	1761
565	2289	1755
566	2294	1752
567	2296	1746
568	2297	1740
569	2299	1734
570	2300	1728
571	2301	1722
572	2303	1716
573	2305	1710
574	2310	1707
575	2312	1702
576	2315	1697
577	2316	1691
578	2318	1686
579	2321	1680
580	2327	1678
581	2329	1672
582	2331	1667
583	2333	1662
584	2335	1656
585	2341	1653
586	2342	1648
587	2344	1642
588	2346	1637
589	2348	1631
590	2350	1626
591	2351	1620
592	2356	1617
593	2357	1611
594	2359	1606
595	2361	1600
596	2363	1595
597	2366	1590
598	2372	1588
599	2377	1584
600	2380	1580
601	2382	1575
602	2413	1588
603	2420	1587
604	2432	1588
605	2439	1586
606	2442	1581
607	2445	1576
608	2447	1571
609	2450	1567
610	2459	1565
611	2461	1560
612	2463	1555
613	2470	1552
614	2473	1548
615	2475	1543
616	2477	1537
617	2480	1533
618	2486	1530
619	2489	1525
620	2492	1520
621	2494	1515
622	2500	1513
623	2504	1508
624	2508	1504
625	2510	1499
626	2515	1496
627	2518	1491
628	2521	1487
629	2524	1482
630	2526	1477
631	2532	1474
632	2535	1469
633	2537	1464
634	2540	1460
635	2545	1457
636	2548	1452
637	2551	1447
638	2552	1442
639	2554	1436
640	2556	1431
641	2562	1428
642	2564	1424
643	2566	1418
644	2568	1413
645	2569	1408
646	2571	1403
647	2578	1400
648	2582	1396
649	2585	1392
650	2587	1387
651	2595	1385
652	2600	1381
653	2602	1376
654	2607	1373
655	2609	1368
656	2610	1363
657	2613	1358
658	2614	1353
659	2616	1347
660	2619	1343
661	2623	1339
662	2625	1334
663	2626	1329
664	2629	1324
665	2631	1319
666	2637	1316
667	2639	1311
668	2641	1307
669	2643	1302
670	2645	1297
671	2647	1292
672	2653	1289
673	2656	1284
674	2658	1280
675	2661	1275
676	2662	1270
677	2664	1265
678	2668	1261
679	2670	1256
680	2672	1251
681	2673	1246
682	2675	1241
683	2677	1236
684	2679	1231
685	2685	1229
686	2688	1224
687	2691	1220
688	2693	1215
689	2696	1211
690	2698	1206
691	2701	1202
692	2704	1198
693	2707	1193
694	2713	1190
695	2716	1186
696	2719	1182
697	2722	1177
698	2724	1173
699	2730	1170
700	2732	1165
701	2734	1160
702	2738	1156
703	2744	1153
704	2747	1149
705	2750	1145
706	2752	1140
707	2754	1136
708	2759	1132
709	2762	1128
710	2765	1124
711	2768	1119
712	2770	1115
713	2777	1112
714	2781	1108
715	2782	1103
716	2784	1099
717	2789	1095
718	2791	1090
719	2792	1086
720	2794	1081
721	2796	1076
722	2797	1071
723	2799	1067
724	2804	1063
725	2805	1058
726	2808	1054
727	2810	1049
728	2812	1045
729	2814	1040
730	2816	1036
731	2819	1032
732	2821	1027
733	2822	1022
734	2825	1018
735	2827	1014
736	2829	1009
737	2834	1006
738	2836	1001
739	2838	997
740	2840	992
741	2842	988
742	2848	985
743	2850	980
744	2852	976
745	2854	971
746	2857	967
747	2860	963
748	2865	960
749	2867	955
750	2873	952
751	2875	948
752	2880	944
753	2882	940
754	2884	936
755	2886	931
756	2888	927
757	2896	924
758	2898	920
759	2900	915
760	2902	911
761	2903	906
762	2906	902
763	2909	898
764	2911	894
765	2913	889
766	2914	885
767	2917	881
768	2919	876
769	2920	872
770	2925	869
771	2927	864
772	2929	860
773	2931	855
774	2933	851
775	2936	847
776	2942	844
777	2945	840
778	2947	836
779	2949	831
780	2951	827
781	2956	824
782	2959	820
783	2962	816
784	2966	812
785	2972	809
786	2975	805
787	2977	801
788	2979	796
789	2988	794
790	2991	790
791	2994	786
792	2996	782
793	3012	781
794	3021	779
795	3038	778
796	3041	774
797	3043	770
798	3054	768
799	3056	764
800	3060	760
801	3062	755
802	3069	752
803	3071	748
804	3073	744
805	3076	740
806	3081	736
807	3086	733
808	3089	729
809	3091	725
810	3101	722
811	3106	719
812	3108	715
813	3115	711
814	3117	707
815	3119	703
816	3132	701
817	3144	699
818	3151	696
819	3160	693
820	3162	689
821	3164	685
822	3167	681
823	3169	676
824	3175	673
825	3179	669
826	3182	665
827	3185	661
828	3193	658
829	3198	655
830	3207	652
831	3210	648
832	3211	643
833	3216	640
834	3224	637
835	3228	633
836	3232	629
837	3241	626
838	3245	622
839	3246	618
840	3252	614
841	3256	611
842	3259	607
843	3261	602
844	3263	598
845	3269	595
846	3272	591
847	3273	586
848	3275	582
849	3277	578
850	3282	574
851	3284	570
852	3288	566
853	3290	562
854	3292	558
855	3299	555
856	3301	550
857	3303	546
858	3305	542
859	3307	538
860	3311	534
861	3313	530
862	3315	526
863	3317	522
864	3318	517
865	3320	513
866	3322	509
867	3328	506
868	3330	502
869	3332	497
870	3334	493
871	3336	489
872	3338	485
873	3344	482
874	3345	477
875	3347	473
876	3348	469
877	3350	465
878	3353	461
879	3357	457
880	3360	453
881	3362	449
882	3366	446
883	3368	442
884	3374	438
885	3376	434
886	3382	430
887	3388	427
888	3392	423
889	3395	419
890	3399	415
891	3405	412
892	3407	408
893	3410	404
894	3414	400
895	3419	396
896	3421	392
897	3424	389
898	3427	385
899	3429	381
900	3435	377
901	3438	373
902	3441	369
903	3444	365
904	3451	362
905	3453	358
906	3456	354
907	3459	350
908	3465	346
909	3469	343
910	3472	339
911	3481	335
912	3486	332
913	3493	328
914	3498	325
915	3502	321
916	3512	317
917	3517	314
918	3529	311
919	3533	307
920	3539	303
921	3544	299
922	3555	296
923	3561	292
924	3563	288
925	3566	285
926	3570	281
927	3573	277
928	3575	273
929	3585	269
930	3588	265
931	3591	262
932	3601	258
933	3603	254
934	3606	250
935	3607	246
936	3614	243
937	3617	239
938	3619	235
939	3622	231
940	3631	227
941	3634	223
942	3636	219
943	3640	215
944	3645	212
945	3647	208
946	3649	204
947	3652	200
948	3659	196
949	3661	192
950	3664	188
951	3666	184
952	3672	181
953	3677	177
954	3680	173
955	3684	169
956	3687	165
957	3689	161
958	3692	157
959	3697	154
960	3700	150
961	3701	146
962	3703	142
963	3706	138
964	3707	134
965	3710	130
966	3715	126
967	3718	122
968	3721	119
969	3724	115
970	3735	111
971	3740	107
972	3750	104
973	3754	100
974	3764	96
975	3777	92
976	3782	89
977	3787	85
978	3791	81
979	3796	77
980	3804	73
981	3812	69
982	3816	66
983	3819	62
984	3822	58
985	3824	54
986	3827	50
987	3830	46
988	3833	42
989	3837	38
990	3840	34
991	3843	30
992	3848	27
993	3851	23
994	3853	19
995	3856	15
996	3858	11
997	3861	7
998	3864	3
999	3868	0
